#Village
(-10.1800000000000, -2.36000000000000)
(-10.4000000000000, -2.87000000000000)
(-8.96000000000001, -3.08000000000000)
(-8.61000000000001, -0.670000000000001)
(-10.1800000000000, -2.36000000000000)
(-10.4000000000000, -2.87000000000000)
(-8.96000000000001, -3.08000000000000)
(-8.61000000000001, -0.670000000000001)
(-8.51000000000001, -0.630000000000001)
(-8.51000000000001, -0.410000000000000)
(-8.63000000000001, -0.280000000000000)
(-8.47000000000001, -0.130000000000000)
(-8.76000000000001, -0.0500000000000001)
(-8.39000000000001, -0.0400000000000000)
(-8.20000000000001, 0.100000000000000)
(-7.96000000000001, 0.0800000000000001)
(-8.18000000000001, -0.120000000000000)
(-8.36000000000001, -0.110000000000000)
(-8.43000000000001, -0.300000000000000)
(-8.23000000000001, -0.190000000000000)
(-8.04000000000001, -0.170000000000000)
(-8.43000000000001, -0.410000000000000)
(-8.43000000000001, -0.630000000000001)
(-8.33000000000001, -0.680000000000001)
(-8.28000000000001, -3.21000000000000)
(-8.15000000000001, -3.39000000000000)
(-7.88000000000001, -3.16000000000000)
(-7.69000000000001, -3.31000000000000)
(-7.31000000000001, -2.79000000000000)
(-6.93000000000001, -3.14000000000000)
(-6.82000000000001, -3.06000000000000)
(-6.60000000000001, -3.41000000000000)
(-6.45000000000001, -3.25000000000000)
(-6.29000000000001, -3.43000000000000)
(-6.07000000000001, -3.01000000000000)
(-5.93000000000001, -3.03000000000000)
(-5.71000000000001, -2.55000000000000)
(-5.46000000000001, -2.60000000000000)
(-5.55000000000001, -2.42000000000000)
(-5.47000000000001, -2.30000000000000)
(-5.32000000000001, -2.39000000000000)
(-5.20000000000001, -2.20000000000000)
(-4.77000000000000, -2.23000000000000)
(-4.69000000000001, -2.61000000000000)
(-4.57000000000001, -2.63000000000000)
(-4.50000000000001, -2.46000000000000)
(-4.19000000000000, -2.46000000000000)
(-4.20000000000000, -2.60000000000000)
(-3.50000000000000, -2.65000000000000)
(-3.03000000000000, -2.83000000000000)
(-2.99000000000000, -2.54000000000000)
(-2.68000000000000, -2.20000000000000)
(-2.30000000000000, -2.64000000000000)
(-2.23000000000000, -2.08000000000000)
(-1.97000000000000, -2.07000000000000)
(-1.99000000000000, -2.71000000000000)
(-1.70000000000000, -2.75000000000000)
(-1.50000000000000, -3.01000000000000)
(-0.630000000000001, -3.21000000000000)
(-0.370000000000000, -2.76000000000000)
(0.360000000000000, -3.14000000000000)
(0.840000000000001, -3.15000000000000)
(1.06000000000000, -3.45000000000000)
(1.79000000000000, -3.63000000000000)
(2.48000000000000, -4.80000000000001)
(4.67000000000001, -4.69000000000001)
(4.56000000000000, -5.43000000000001)
(4.27000000000000, -6.32000000000001)
(4.17000000000000, -6.84000000000001)
(4.00000000000000, -7.24000000000001)
(-0.200000000000000, -6.99000000000001)
(-0.500000000000001, -5.32000000000001)
(-1.31000000000000, -5.09000000000001)
(-1.43000000000000, -5.33000000000001)
(-2.25000000000000, -5.37000000000001)
(-2.33000000000000, -5.20000000000001)
(-2.82000000000000, -5.20000000000001)
(-3.00000000000000, -5.00000000000000)
(-3.36000000000000, -5.00000000000000)
(-4.29000000000000, -5.14000000000001)
(-4.81000000000000, -5.08000000000001)
(-5.19000000000001, -5.02000000000000)
(-5.50000000000001, -5.50000000000001)
(-6.43000000000001, -5.71000000000001)
(-6.90000000000001, -5.96000000000001)
(-7.50000000000001, -6.00000000000000)
(-8.08000000000001, -5.93000000000001)
(-8.35000000000001, -5.89000000000001)
(-8.90000000000001, -6.28000000000001)
(-9.56000000000001, -6.09000000000001)
(-10.0200000000000, -6.15000000000001)
(-10.7500000000000, -6.14000000000001)
(-10.9400000000000, -6.20000000000001)
(-11.1400000000000, -5.73000000000001)
(-11.4100000000000, -5.34000000000001)
(-11.4400000000000, -4.96000000000001)
(-11.6100000000000, -4.83000000000001)
(-11.9700000000000, -4.79000000000001)
(-12.0000000000000, -4.32000000000000)
(-12.0900000000000, -4.17000000000000)
(-12.0900000000000, -4.01000000000000)
(-12.0000000000000, -3.80000000000000)
(-12.1200000000000, -3.57000000000000)
(-12.0600000000000, -3.47000000000000)
(-12.0200000000000, -3.29000000000000)
(-12.0800000000000, -3.07000000000000)
(-12.1800000000000, -2.92000000000000)
(-12.2000000000000, -2.20000000000000)
(-10.1800000000000, -2.36000000000000)
